NationaliteitId,Nationaliteit,Bevolking_1
T001059,Totaal,873338
NAT9489,Totaal niet-Nederlandse nationaliteit,162462
NAT9267,Nederlands,710876
NAT9269,Afrika,16905
NAT9270,Amerika,15636
NAT9271,Azië,21518
NAT9272,Europa (exclusief Nederlands),104642
NAT9274,Oceanië,1889
NAT9275,Europese Unie (exclusief Nederlands),73971
NAT9277,Midden- en Oost-Europese nat. in de EU,19260
NAT9481,GIPS-Nationaliteiten in de EU,26656
NAT9482,Westerse nationaliteiten ex. Nederlands,108103
NAT9483,Niet-westerse nationaliteiten,52487
NAT9281,Amerikaans,7506
NAT9292,Belgisch,2862
NAT9300,Braziliaans,2568
NAT9301,Brits,12881
NAT9303,Bulgaars,5138
NAT9322,Burger van Bondsrepubliek Duitsland,10158
NAT9310,Chinees,3703
NAT9326,Eritrees,1759
NAT9332,Frans,8316
NAT9338,Grieks,3056
NAT9345,Hongaars,1787
NAT9346,Iers,1974
NAT9348,Indiaas,4465
NAT9349,Indonesisch,1382
NAT9350,Iraaks,281
NAT9353,Italiaans,12040
NAT9356,Japans,1552
NAT9387,Marokkaans,7767
NAT9415,Pools,4198
NAT9416,Portugees,3971
NAT9417,Roemeens,3912
NAT9418,Russisch,2953
NAT9440,Spaans,7589
NAT9442,Surinaams,1331
NAT9444,Syrisch,3068
NAT9448,Thais,362
NAT9458,Turks,10143
NAT9475,Overig Afrika,7379
NAT9476,Overig Amerika,4231
NAT9477,Overig Azië,6705
NAT9478,Overige Europa ( exclusief Nederlands),13664
NAT9480,Staatloos / onbekend,1872
